CYBERSPACE,active,full,1
CLICKATELL,active,full,1
NETCOMM,active,full,1
NIRAMED,active,full,1
NIRA,active,full,1
ISNIGERIA,active,full,1
SWIFT,active,full,1
ESTREAM,active,full,1
KKON,active,full,1
IPNX,active,full,1
AIRTEL,active,full,1
EKOKONNECT,active,full,1
ICNL,active,full,1
COBRANET,active,full,1
BBC,active,full,1
GOOGLE,active,full,1
MAINONE,active,full,1
PHASE3,active,full,1
LAYER3,active,full,1
MTN,active,full,1
ETISALAT,active,full,1
NATCOMM,active,full,1
COOLLINK,active,full,1
NGCOM,active,full,1
GLO1,active,full,1
ICSL,active,full,1
VODACOM,active,full,1
SMILE,active,full,1
NGREN,active,full,1
VERISIGN,active,full,1
PCHAS42,active,full,1
PCHAS3856,active,full,1
DOLPHIN,active,full,1
EKOVOLT,active,full,1
LIQUID TELECOMS,active,full,1
ISN,active,full,1
CDNS,active,full,1
NMOBILE,active,full,1
AFILIAS,active,full,1
AKAMAI,active,full,1
PLATINUM,active,full,1
JUNIPER,active,full,1
HYPERIA,active,full,1
CHINA TELECOM,active,full,1
GARANNTOR,active,full,1
FACEBOOK,active,full,1
ZENLAYER,active,full,1
ANGOLACABLE,active,full,1
CLOUDFLARE,active,full,1
DOTMAC,active,full,1
VDT,active,full,1
BRAINSHARE,active,full,1
BICS,active,full,1
WEB4AFRICA,active,full,1
CLOUDFLEX,active,full,1
WACREN,active,full,1
BITFLUX,active,full,1
MICROSFT,active,full,1
WIOCC,active,full,1
SOFTALLIANCE,active,full,1
NIGCOMSAT,active,full,1
WRAGBY,active,full,1
AFR_IX,active,full,1
BILLYRONKS,active,full,1
LIMELIGHT,active,full,1
VTS,active,full,1
ORANGE,active,full,1
SPECTRANET,active,full,1
